,Final_text,rating_class
56,handson microservices monitor test performance engineer guide continuous test monitor microservices Dinesh_Rajput,4
57,apache superset quick start guide develop interactive visualizations create userfriendly dashboards Shashank_Shekhar,4
58,windows server two thousand and sixteen administration cookbook core infrastructure iis remote desktop service monitor group policy Jordan_Krause,5
59,reactjs essentials fastpaced guide design build scalable maintainable web apps reactjs Artemij_Fedosejev,4
60,svelte three run fastpaced introductory guide build highperformance web applications sveltejs Alessandro_Segala,4
61,lean product management successful products fuzzy business ideas Mangalam_Nandakumar,4
62,"implement administer cisco solutions two hundred thousand, three hundred and one ccna exam guide begin successful career network two hundred thousand, three hundred and one ccna certification Glen_D._Singh",5
63,handson exploratory data analysis r become expert exploratory data analysis use r package Radhika_Datar Harish_Kumar_Garg,4
64,handson dashboard development qlikview practical guide create interactive userfriendly business intelligence dashboards Abhishek_Agarwal,4
65,build smart lego mindstorms ev3 robots leverage lego mindstorms ev3 platform build program intelligent robots Kyle_Markland,4
66,get start terraform second edition manage production infrastructure code Kirill_Shirinkin,4
67,socketio cookbook Tyson_Cadenhead,4
68,spring boot cookbook Alex_Antonov,4
69,odoo development essentials Daniel_Reis,4
70,keyshot 3d render Jei_Lee_Jo,1
71,artificial intelligence machine learn fundamentals develop realworld applications power latest ai advance Zsolt_Nagy,4
72,learn opengl beginner guide 3d render game development opengl c Frahaan_Hussain,4
73,jira agile essentials Patrick_Li,4
74,blueprint visual script unreal engine build professional 3d game unreal engine four visual script system Brenden_Sewell,4
75,powershell sql server essentials Donabel_Santos,4
76,begin java data structure algorithms sharpen problem solve skills learn core computer science concepts painfree manner James_Cutajar,4
77,python artificial intelligence project beginners get run artificial intelligence use eight smart excite ai applications Dr._Joshua_Eckroth,4
78,ai crash course fun handson introduction machine learn reinforcement learn deep learn artificial intelligence python Hadelin_de_Ponteves,4
79,mobile game design essentials Dr._Claudio_Scolastici David_Nolte,5
80,social media mine r Nathan_Danneman Richard_Heimann,3
81,program windows workflow foundation practical wf techniques examples use xaml c K._Scott_Allen,4
82,web content management documentum Gaurav_Kathuria,4
83,oracle siebel crm eight developer handbook Alexander_Hansal,5
84,aws security best practice aws learn secure data servers applications aws Albert_Anthony,4
85,django restful web service easiest way build python restful apis web service django Gaston_C._Hillar,4
86,tkinter gui application development cookbook practical solution gui development problems python tkinter Alejandro_Rodas_de_Paz,4
87,spring twenty-five aspect orient program Massimiliano_Dessì,1
88,blender 3d two hundred and forty-nine incredible machine Allan_Brito,4
89,jasperreports thirty-five java developers David_R._Heffelfnger,4
90,practical web penetration test secure web applications use burp suite nmap metasploit Gus_Khawaja,4
91,master linux script practical guide linux commandline bash script program 2nd edition Mokhtar_Ebrahim Andrew_Mallett,4
92,solidity program essentials beginner guide build smart contract ethereum blockchain Ritesh_Modi,4
93,get start google bert build train stateoftheart natural language process model use bert Sudharsan_Ravichandiran,4
94,aws solutions architects design cloud infrastructure implement devops containers amazon web service Alberto_Artasanchez,4
95,learn aws 2ed design build deploy responsive applications use aws cloud components 2nd edition Amit_Shah_Aurobindo_Sarkar,4
96,sql data analytics third edition harness power sql extract insights data Jun_Shan Matt_Goldwasser,5
97,program codeignitermvc Eliahou_Orr Yehuda_Zadik,3
98,master bootstrap four Benjamin_Jakobus Jason_Marah,3
99,learn python program indepth introduction fundamentals python 3rd edition Fabrizio_Romano Heinrich_Kruger,4
100,artificial intelligence example acquire advance ai machine learn deep learn design skills 2nd edition Denis_Rothman,4
101,github essentials unleash power collaborative development workflows use github 2nd edition Achilleas_Pipinellis,4
102,master microsoft power bi expert techniques effective data analytics business intelligence Brett_Powell,4
103,master ros robotics program best practice troubleshoot solutions work ros Lentin_Joseph Jonathan_Cacace,5
104,master machine learn advance prediction algorithms learn methods r 3x Cory_Lesmeister,3
105,python geeks build productionready applications use advance python concepts industry best practice Muhammad_Asif,4
106,python algorithmic trade cookbook recipes need implement algorithmic trade strategies python Pushpak_Dagade,4
107,workflow automation microsoft power automate use business process automation achieve digital transformation minimal code Aaron_Guilmette,5
108,django four example fourth edition build powerful reliable python web applications scratch Antonio_Mele,5
109,artificial intelligence power bi take data analytics skills next level leverage ai capabilities power bi Mary-Jo_Diepeveen,4
110,master mobile forensics Soufiane_Tahiri,5
111,software architecture python design architect highly scalable robust clean high performance applications python Anand_Balachandran_Pillai,4
112,c high performance master art optimize function c code 2nd edition Björn_Andrist Viktor_Sehr,5
113,cryptography network security principles practice seventh edition pearson Stallings_William,4
114,learn quantum compute python ibm quantum experience handson introduction quantum compute write quantum program python Robert_Loredo,4
115,artificial intelligence third edition pearson modern approach Russell,4
116,selenium webdriver three practical guide endtoend automation test web mobile browsers selenium webdriver 2nd edition Unmesh_Gundecha Satya_Avasarala,4
117,digital design introduction verilog hdl vhdl systemverilog sixth edition pearson M._Morris_Mano Michael_D._Ciletti,5
118,master saltstack use salt fullest Joseph_Hall,4
119,responsive web design html5 css fourth edition build futureproof responsive websites use latest html5 css techniques Ben_Frain,5
120,lowcode application development appian beginner guide highspeed business innovation enterprise scale use appian Stefan_Helzle,4
121,java workshop learn objectoriented program kickstart career software development David_Cuartielles Andreas_Göransson,4
122,modern c program cookbook master c core language standard library feature one hundred recipes update c20 2nd edition Marius_Bancila,4
123,mobile forensics cookbook Igor_Mikhaylov,3
124,learn rslogix five thousand program build robust plc solutions controllogix compactlogix studio 5000rslogix five thousand 2nd edition Austin_Scott,4
125,llvm essentials Suyog_Sarda Mayur_Pandey,3
126,data structure algorithms make easy data structure algorithmic puzzle Narasimha_Karumanchi,4
127,openstack essentials Dan_Radez,3
128,microsoft azure iaas essentials Gethyn_Ellis,5
129,supervise learn workshop new interactive approach understand supervise learn algorithms 2nd edition Blaine_Bateman Ashish_Ranjan_Jha,4
130,microsoft power bi data analyst certification guide comprehensive guide become confident certify power bi professional Orrin_Edenfield Edward_Corcoran,5
131,azure data scientist associate certification guide handson guide machine learn azure pass microsoft certify dp100 exam Andreas_Botsikas Michael_Hlobil,4
132,java data science Richard_M._Reese Jennifer_L._Reese,5
133,build machine learn systems python Willi_Richert Luis_Pedro_Coelho,4
134,solutions architect handbook kickstart career solutions architect learn architecture design principles strategies Saurabh_Shrivastava Neelanjali_Srivastav,5
135,secret recipes python ninja seventy recipes uncover powerful program tactics python Steven_F._Lott Cody_Jackson,5
136,learn llvm twelve beginner guide learn llvm compiler tool core libraries c Kai_Nacke,4
137,master microsoft endpoint manager deploy manage windows ten windows eleven windows three hundred and sixty-five physical cloud pcs Christiaan_Brinkhoff Per_Larsen,5
138,build program language programmer guide design compilers interpreters dsls solve modern compute problems Clinton_L._Jeffery,4
139,c ten net six modern crossplatform development build apps websites service aspnet core six blazor ef core six use visual studio two thousand and twenty-two visual studio code Mark_J._Price,5
140,python automation cookbook seventy-five python automation ideas web scrap data wrangle process excel report email 2nd edition Jaime_Buelta,4
141,python machine learn machine learn deep learn python scikitlearn tensorflow two 3rd edition Sebastian_Raschka Vahid_Mirjalili,4
142,machine learn algorithms reference guide popular algorithms data science machine learn Giuseppe_Bonaccorso,4
143,master swift four fourth edition indepth comprehensive guide modern program techniques swift Jon_Hoffman,4
144,linux network professionals securely configure operate linux network service enterprise Rob_VandenBrink,5
145,codeigniter web application blueprint Rob_Foster,4
146,learn javascript data structure algorithms write complex powerful javascript code use latest ecmascript 3rd edition Loiane_Groner,4
147,responsive web design html5 css3 Ben_Frain,4
148,aws certify database specialty dbsc01 certification comprehensive guide become aws certify database specialist Kate_Gawron,4
149,machine learn pytorch scikitlearn develop machine learn deep learn model python Sebastian_Raschka Yuxi_(Hayden)_Liu,5
150,cmake cookbook build test package modular software modern cmake Radovan_Bast Roberto_Di_Remigio,4
151,learn opencv four computer vision python three get grip tool techniques algorithms computer vision machine learn 3rd edition Joseph_Howse Joe_Minichino,4
152,master javascript objectoriented program Andrea_Chiarelli,4
153,automate machine learn microsoft azure build highly accurate scalable endtoend ai solutions azure automl Dennis_Michael_Sawyers,4
154,modern program object orient program best practice deconstruct objectoriented program use program paradigms build applications Graham_Lee,4
155,typescript four design pattern best practice discover effective techniques design pattern every program task Theo_Despoudis,4
156,master embed linux program unleash full potential embed linux linux forty-nine yocto project twenty-two morty update Chris_Simmonds,4
157,java ee eight cookbook build reliable applications robust mature technology enterprise development Elder_Moraes,3
158,learn ethereum build decentralize applications ethereum smart contract Xun_(Brian)_Wu Zhihong_Zou,4
159,machine learn timeseries python forecast predict detect anomalies stateoftheart machine learn methods Ben_Auffarth,4
160,statistics data science James_D._Miller,4
161,master linux device driver development write custom device drivers support computer peripherals linux operate systems John_Madieu,5
162,mobx quick start guide supercharge client state react apps mobx Pavan_Podila Michel_Weststrate,4
163,apache spark deep learn cookbook eighty recipes streamline deep learn distribute environment apache spark Ahmed_Sherif Amrith_Ravindra,5
164,lean mobile app development Mike_van_Drongelen Adam_Dennis,4
165,phoenix web development create rich web applications use functional program techniques phoenix elixir Mike_Voloz Brandon_Richey,3
166,engineer mlops rapidly build test manage productionready machine learn life cycle scale Emmanuel_Raj,4
167,handson serverless compute google cloud build deploy containerize apps use cloud function cloud run cloudnative technologies Richard_Rose,4
168,art crm prove strategies modern customer relationship management Max_Fatouretchi,4
169,master metasploit Nipun_Jaswal,4
170,computer program absolute beginners learn essential computer science concepts cod techniques kickstart program career Joakim_Wassberg,4
171,react seventeen design pattern best practice design build deploy productionready web applications use industrystandard practice 3rd edition Carlos_Santana_Roldán,4
172,learn c develop game unity two thousand and twenty enjoyable intuitive approach get start c program unity 5th edition Harrison_Ferrone,5
173,design hexagonal architecture java architect guide build maintainable changetolerant applications java quarkus Davi_Vieira,5
174,data analytics make easy analyze present data make inform decisions without write code Andrea_De_Mauro Francesco_Marzoni,5
175,handson embed program c17 create versatile robust embed solutions mcus rtoses modern c Maya_Posch,4
176,microsoft dynamics ax two thousand and twelve r3 report cookbook Deepak_Agarwal Chhavi_Aggarwal,4
177,professional azure sql database administration equip skills manage maintain data cloud 2nd edition Ahmad_Osama,4
178,softwaredefined network openflow Oswald_Coker Siamak_Azodolmolky,5
179,master python data science Samir_Madhavan_Samir,4
180,data science project python case study approach gain valuable insights real data machine learn 2nd edition Stephen_Klosterman,4
181,learn selenium build datadriven test frameworks mobile web applications selenium web driver three Unmesh_Gundecha Carl_Cocchiaro,4
182,system center two thousand and sixteen virtual machine manager cookbook design configure manage efficient virtual infrastructure vmm system center two thousand and sixteen 3rd edition EDVALDO_ALESSANDRO_CARDOSO Roman_Levchenko,4
183,automata theory language computation third edition pearson Hopcroft,4
184,time series analysis python cookbook seventy-five practical recipes develop time series analysis forecast skills Tarek_Atwan,4
185,neo4j high performance Sonal_Raj,3
186,handson data analysis pandas python data science handbook data collection wrangle analysis visualization 2nd edition Stefanie_Molin Ken_Jee,4
187,practical network automation beginner guide automate optimize network use python ansible 2nd edition Abhishek_Ratan,4
188,performance test jmeter twenty-nine Bayo_Erinle,3
189,handson web scrap python perform advance scrap operations use various python libraries tool selenium regex others Anish_Chapagain,4
190,react react native fourth edition build crossplatform javascript applications native power web desktop mobile Adam_Boduch Roy_Derks,4
191,learn react typescript three beginner guide modern react web development typescript three Carl_Rippon,4
192,handson machine learn microsoft excel two thousand and nineteen build complete data analysis flow data collection visualization Julio_Cesar_Rodriguez_Martino,4
193,clean code javascript develop reliable maintainable robust javascript James_Padolsey,4
194,workflow automation microsoft power automate achieve digital transformation business automation minimal cod Aaron_Guilmette,4
195,master iot build modern iot solutions secure monitor iot infrastructure Colin_Dow Perry_Lea,4
196,one hundred and one ux principles definitive design guide Will_Grant,4
197,data visualization successful design process Andy_Kirk,4
198,arduino kid cool guide help kid develop robots electronics Priya_Kuber Rishi_Gaurav_Bhatnagar,4
199,kubernetes production best practice build manage highly available productionready kubernetes cluster Aly_Saleh Murat_Karslioglu,5
200,image process imagej Jose_Maria_MateosPerez Javier_Pascau,3
201,wix thirty-six developer guide windows installer xml Nick_Ramirez,4
202,numpy essentials Leo_(Liang-Huan)_Chin Tanmay_Dutta,4
203,serverless etl analytics aws glue first onestop reference guide aws glue feature Vishal_Pathak Subramanya_Vajiraya,5
204,php seven program cookbook eighty recipes take php seven web development skills next level Doug_Bierer,4
205,android application security essentials Pragati_Ogal_Rai,5
206,burp suite cookbook practical recipes help master web penetration test burp suite Sunny_Wear,5
207,python data science essentials practitioner guide cover essential data science principles tool techniques 3rd edition Alberto_Boschetti Luca_Massaron,5
208,isc two cissp certify information systems security professional official study guide practice test bundle Mike_Chapple James_Michael_Stewart,5
209,master swift five deep dive latest edition swift program language 5th edition Jon_Hoffman,4
210,nodejs design pattern design implement productiongrade nodejs applications use prove pattern techniques 3rd edition Mario_Casciaro Luciano_Mammino,5
211,salesforce cpq implementation handbook configure salesforce cpq products close deal generate higher revenue business Madhu_Ramanujan,5
212,user experience map enhance ux user story map journey map diagram Peter_W._Szabo,4
213,mobile test automation appium Nishant_Verma,4
214,selenium test tool cookbook second edition Unmesh_Gundecha,4
215,unity two thousand and eighteen augment reality project build four immersive fun ar applications use arkit arcore vuforia Jesse_Glover,4
216,master azure security keep microsoft azure workloads safe Mustafa_Toroman Tom_Janetscheck,4
217,uipath administration support guide learn industrystandard practice uipath program support administration activities Arun_Kumar_Asokan,4
218,python deep learn explore deep learn techniques neural network architectures pytorch keras tensorflow 2nd edition Ivan_Vasilev Daniel_Slater,4
219,implement check point firewall solutions install configure deploy production administer check point firewalls threat prevention solutions premise Vladimir_Yakovlev,5
220,python machine learn example build intelligent systems use python tensorflow two pytorch scikitlearn 3rd edition Yuxi_(Hayden)_Liu,4
221,machine learn python r dummy John_Paul_Mueller Luca_Massaron,4
222,practical realtime data process analytics Shilpi_Saxena Saurabh_Gupta,1
223,machine learn algorithms popular algorithms data science machine learn 2nd edition Giuseppe_Bonaccorso,4
224,javascript project kid Syed_Omar_Faruk_Towaha,5
225,handson exploratory data analysis r become expert exploratory data analysis use r package Radhika_Datar Harish_Garg,4
226,master adobe photoshop elements two thousand and twenty supercharge image edit use latest feature techniques photoshop elements 2nd edition Robin_Nichols,4
227,apply machine learn explainability techniques best practice make ml algorithms interpretable realworld applications use lime shap others Aditya_Bhattacharya,5
228,linux kernel program comprehensive guide kernel internals write kernel modules kernel synchronization Kaiwan_N_Billimoria,5
229,parallel program python develop efficient parallel systems use robust python environment Jan_Palach,4
230,build microservices net core Gaurav_Kumar_Aroraa Lalit_Kale,4
231,machine learn use python Manaranjan_Pradhan U_Dinesh_Kumar,4
232,go devops learn use go language automate servers cloud kubernetes github packer terraform John_Doak David_Justice,5
233,design web apis strapi get start strapi headless cms build complete learn management system api Khalid_Elshafie Mozafar_Haider,5
234,master qt five create stun crossplatform applications use c qt widgets qml qt quick 2nd edition Guillaume_Lazar Robin_Penea,5
235,spring mvc beginner guide Amuthan_Ganeshan,4
236,handson motion graphics adobe effect cc develop skills visual effect motion graphics artist David_Dodds,4
237,handson mobile embed development qt five build apps android ios raspberry pi c qt Lorn_Potter,5
238,python data science essentials learn fundamentals data science python Alberto_Boschetti Luca_Massaron,4
239,interactive dashboards data apps plotly dash harness power fully fledge frontend web framework python javascript require Elias_Dabbas,4
240,react project build twelve realworld applications scratch use react react native react three hundred and sixty Roy_Derks,4
241,spring five design pattern master efficient application development pattern proxy singleton template method Dinesh_Rajput,4
242,ai blueprint build deploy ai business project Dr._Joshua_Eckroth,5
243,machine learn finance principles practice financial insiders Jannes_Klaas,3
244,django four impatient learn core concepts python web development django one weekend Greg_Lim Daniel_Correa,5
245,selenium two test tool beginner guide David_Burns,3
246,python fundamentals practical guide learn python complete realworld project explore Ryan_Marvin Mark_Ng’ang’a,4
247,learn c develop game unity two thousand and nineteen code c build 3d game unity 4th edition Harrison_Ferrone,4
248,master objectoriented python build powerful applications reusable code use oop design pattern python thirty-seven 2nd edition Steven_F._Lott,5
249,handson kubernetes azure use azure kubernetes service automate management scale deployment containerize applications 3rd edition Nills_Franssens Shivakumar_Gopalakrishnan,5
250,practical python program iot build advance iot project use raspberry pi four mqtt restful apis websockets python three Gary_Smart,4
251,learn tableau two thousand and twenty-two fifth edition create effective data visualizations build interactive visual analytics improve data storytelling capabilities Joshua_N._Milligan,4
252,c data structure algorithm design principles leverage power modern c build robust scalable applications John_Carey Shreyans_Doshi,3
253,deep learn basics python deep learn theory implementation Koki_Saitoh,4
254,angular six example get run angular build modern realworld web apps 3rd edition Chandermani_Arora Kevin_Hennessy,4
255,master windows powershell script automate manage environment use powershell core sixty 3rd edition Chris_Dent,5
256,learn python seven days Mohit Bhaskar_N._Das,2
257,handson network program c learn socket program c write secure optimize network code Lewis_Van_Winkle,4
258,metasploit penetration test cookbook Abhinav_Singh,4
259,generative adversarial network project build nextgeneration generative model use tensorflow keras Kailash_Ahirwar,4
260,practical data science cookbook Prabhanjan_Tattar Tony_Ojeda,5
261,master kotlin learn advance kotlin program techniques build apps android ios web Nate_Ebel,5
262,salesforcecom customization handbook Rakesh_Gupta Sagar_Pareek,5
263,complete virtual reality augment reality development unity leverage power unity become pro create mix reality applications Jesse_Glover Jonathan_Linowes,4
264,practical internet things security beat iot security threats strengthen security strategy posture iot vulnerabilities Brian_Russell Drew_Van_Duren,4
265,vmware workstation experience necessary Sander_van_Vugt,4
266,handson serverless applications go build realworld productionready applications aws lambda Mohamed_Labouardy,5
267,bioinformatics python cookbook Tiago_Antao,5
268,learn continuous integration jenkins beginner guide implement continuous integration continuous delivery use jenkins two 2nd edition Nikhil_Pathania,4
269,master machine learn r Cory_Lesmeister,5
270,tensorflow machine learn cookbook sixty practical recipes help master google tensorflow machine learn library Nick_McClure,4
271,spring security third edition secure web applications restful service microservice architectures Mick_Knutson Robert_Winch,4
272,react design pattern best practice design build deploy productionready web applications use standard industry practice 2nd edition Carlos_Santana_Roldán,5
273,agile modelbased systems engineer cookbook improve system development apply prove recipes effective agile systems engineer Bruce_Powel_Douglass,4
274,handson computer vision tensorflow two leverage deep learn create powerful image process apps tensorflow twenty keras Benjamin_Planche Eliot_Andres,4
275,master javascript functional program write clean robust maintainable web server code use functional javascript 2nd edition Federico_Kereki,4
276,regression analysis r design develop statistical nod identify unique relationships within data scale Giuseppe_Ciaburro,4
277,julia ten program cookbook one hundred numerical distribute compute recipes daily data science workflow Bogumił_Kamiński Przemysław_Szufel,3
278,expert c become proficient programmer learn cod best practice c17 c20 latest feature Vardan_Grigoryan Shunguang_Wu,4
279,angular cookbook eighty actionable recipes every angular developer know Muhammad_Ahsan_Ayaz Najla_Obaid,4
280,get start webrtc Rob_Manson,4
281,handson system program go build modern concurrent applications unix linux systems use golang Alex_Guerrieri,4
282,gradle essentials community experience distil Kunal_Dabir Abhinandan,4
283,parallel program concurrency c ten net six modern approach build faster responsive asynchronous net applications use c Alvin_Ashcraft,5
284,flutter beginners introductory guide build crossplatform mobile applications flutter dart two Alessandro_Biessek,4
285,javascript beginner professional learn javascript quickly build fun interactive dynamic web apps game page Laurence_Lars_Svekis Maaike_van_Putten,5
286,troubleshoot postgresql Hans-Jurgen_Schonig,4
287,data wrangle workshop create actionable insights use data multiple raw source Brian_Lipp Shubhadeep_Roychowdhury,5
288,begin java data structure algorithms sharpen problem solve skills learn core computer science concepts painfree manner James_Cutajar,4
289,blender 3d example projectbased guide learn latest blender 3d eevee render engine grease pencil 2nd edition Oscar_Baechler Xury_Greer,4
290,handson unity two thousand and twenty game development build customize optimize professional game use unity two thousand and twenty c Nicolas_Alejandro_Borromeo,4
291,unsupervised learn workshop get start unsupervised learn algorithms simplify unorganized data help make future predictions Aaron_Jones Christopher_Kruger,4
292,aws certify cloud practitioner exam guide build cloud compute knowledge build skills aws certify cloud practitioner clfc01 Rajesh_Daswani,5
293,artificial intelligence iot cookbook seventy recipes build ai solutions smart home industrial iot smart cities Michael_Roshak,4
294,data forecast segmentation use microsoft excel leverage machine learn data group linear predictions time series projections without use code Fernando_Roque,5
295,handson design pattern react native prove techniques pattern efficient native mobile development javascript Mateusz_Grzesiukiewicz,4
296,build multicopter video drone Ty_Audronis,4
297,learn scipy numerical scientific compute Sergio_J._RojasG. Erik_A_Christensen,4
298,creative project rust programmers build excite project domains web apps webassembly game parse Carlo_Milanesi,4
299,web development django learn build modern web applications pythonbased framework Ben_Shaw Saurabh_Badhwar,4
300,implement oracle integration cloud service Robert_van_Molken Phil_Wilkins,4
301,successful software manager definitive guide grow developer manager Herman_Fung,4
302,learn java seventeen program learn code understand fundamentals java seventeen Nick_Samoylov,5
303,expert python program master python learn best cod practice advance program concepts 4th edition Michał_Jaworski Tarek_Ziadé,4
304,linux device driver development everything need start device driver development linux kernel embed linux John_Madieu,4
305,learn python two hundred program practical guide beginners xi xii std cbse students Vaishali_B._Bhagat,4
306,learn robotics program build control aienabled autonomous robots use raspberry pi python Danny_Staple,4
307,master javascript design pattern Simon_Timms,3
308,laravel five essentials Martin_Bean,4
309,handson design pattern java learn design pattern enable build largescale software architectures Dr._Edward_Lavieri,4
310,learn unity physics K._Aava_Rani,3
311,learn selenium test tool python Unmesh_Gundecha,4
312,dynamics three hundred and sixty-five finance operations development cookbook fourth edition recipes explore form lookups different integrations like power bi ms office business solutions Deepak_Agarwal Abhimanyu_Singh,4
313,learn internet things Peter_Waher,4
314,automate salesforce market cloud reap benefit sfmc platform increase productivity help realworld examples Greg_Gifford Jason_Hanshaw,5
315,handson rtos microcontrollers build realtime embed systems use freertos stm32 mcus segger debug tool Brian_Amos,5
316,security go explore power golang secure host web cloud service John_Daniel_Leon,4
317,handson agile software development jira design manage software project use agile methodology David_Harned,4
318,build analytics team harness analytics artificial intelligence business improvement John_K._Thompson Douglas_B._Laney,4
319,learn ios penetration test Swaroop_Yermalkar,4
320,learn redux Daniel_Bugl,4
321,implement microsoft dynamics three hundred and sixty-five finance operations apps learn best practice architecture tool techniques 2nd edition JJ_Yadav Sandeep_Shukla,4
322,fix bad ux design master prove approach tool techniques make user experience great Lisandra_Maioli,3
323,microsoft azure administrator exam guide az103 indepth certification guide become microsoft certify azure administrator associate Sjoukje_Zaal,4
324,practical autodesk autocad two thousand and twenty-one autocad lt two thousand and twenty-one nononsense beginner guide draft 3d model autodesk autocad Yasser_Shoukry Jaiprakash_Pandey,4
325,continuous delivery docker jenkins third edition create secure applications build complete cicd pipelines Rafal_Leszko,4
326,expert data model power bi get best power bi build optimize data model report business need Soheil_Bakhshi Christian_Wade,5
327,artificial intelligence python complete guide build intelligent apps use python 3x 2nd edition Alberto_Artasanchez Prateek_Joshi,4
328,microsoft power bi quick start guide bring data life data model visualization digital storytelling 2nd edition Devin_Knight Mitchell_Pearson,4
329,postgresql eleven administration cookbook one hundred and seventy-five recipes database administrators manage enterprise databases Simon_Riggs Gianni_Ciolli,4
330,salesforce lightning platform enterprise architecture architect deliver package applications cater enterprise business need 3rd edition Andrew_Fawcett Wade_Wegner,5
331,java project learn fundamentals java eleven program build industry grade practical project 2nd edition Peter_Verhas,2
332,machine learn apache spark quick start guide uncover pattern derive actionable insights learn big data use mllib Jillur_Quddus,5
333,deep reinforcement learn handson apply modern rl methods deep qnetworks value iteration policy gradients trpo alphago zero Maxim_Lapan,4
334,devops twenty-five toolkit Viktor_Farcic,5
335,microsoft power platform enterprise architecture guide architects decision makers craft complex solutions tailor meet business need Robert_Rybaric,4
336,learn devops comprehensive guide accelerate devops culture adoption terraform azure devops kubernetes jenkins Mikael_Krief,5
337,learn web development python get handson python program django web development Fabrizio_Romano Gaston_C._Hillar,4
338,master embed linux program create fast reliable embed solutions linux fifty-four yocto project thirty-one dunfell Frank_Vasquez Chris_Simmonds,5
339,augment reality developers build practical augment reality applications unity arcore arkit vuforia Jonathan_Linowes Krystian_Babilinski,4
