book_name,book_reviewer_name,,book_reviewer_title,book_reviewer_info,book_reviewer_reviewText,sentences,clas,confc,sentiment0,confs,book_reviewer_rating
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,MRS IYENGAR,,A pitch-perfect book in regards to getting started with BERT in NLP.,Reviewed in India 🇮🇳 on 7 March 2021,"The amount of in-depth information compiled about BERT and its varients in this book is quite astonishing. The content is top-notch with great visual explanations. Encoders and decoders are very hard to explain. In this book encoder and decoder chapters are peaches, they are explained with absolute perfection. The range of BERT variants in this book is mind-blowing, the book contains BERT, ALBERT, RoBERTa, DistilBERT, TInyBERT, BERTSUM, etc. My favorite BERT models are XLM-R, Sentence BERT, and VideoBERT. The author explains each and every concept with ease. I personally felt very happy to have purchased and read the book. I thank the author for writing such a gem of a book. If you looking for a book to strengthen your knowledge of NLP, Deep Learning, BERT this is the go-to book. Hope my suggestion helps.",I thank the author for writing such a gem of a book.,statement,0.943345666,POSITIVE,0.998884857,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,MRS IYENGAR,,A pitch-perfect book in regards to getting started with BERT in NLP.,Reviewed in India 🇮🇳 on 7 March 2021,"The amount of in-depth information compiled about BERT and its varients in this book is quite astonishing. The content is top-notch with great visual explanations. Encoders and decoders are very hard to explain. In this book encoder and decoder chapters are peaches, they are explained with absolute perfection. The range of BERT variants in this book is mind-blowing, the book contains BERT, ALBERT, RoBERTa, DistilBERT, TInyBERT, BERTSUM, etc. My favorite BERT models are XLM-R, Sentence BERT, and VideoBERT. The author explains each and every concept with ease. I personally felt very happy to have purchased and read the book. I thank the author for writing such a gem of a book. If you looking for a book to strengthen your knowledge of NLP, Deep Learning, BERT this is the go-to book. Hope my suggestion helps.","If you looking for a book to strengthen your knowledge of NLP, Deep Learning, BERT this is the go-to book.",statement,0.624268949,POSITIVE,0.998811603,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,MRS IYENGAR,,A pitch-perfect book in regards to getting started with BERT in NLP.,Reviewed in India 🇮🇳 on 7 March 2021,"The amount of in-depth information compiled about BERT and its varients in this book is quite astonishing. The content is top-notch with great visual explanations. Encoders and decoders are very hard to explain. In this book encoder and decoder chapters are peaches, they are explained with absolute perfection. The range of BERT variants in this book is mind-blowing, the book contains BERT, ALBERT, RoBERTa, DistilBERT, TInyBERT, BERTSUM, etc. My favorite BERT models are XLM-R, Sentence BERT, and VideoBERT. The author explains each and every concept with ease. I personally felt very happy to have purchased and read the book. I thank the author for writing such a gem of a book. If you looking for a book to strengthen your knowledge of NLP, Deep Learning, BERT this is the go-to book. Hope my suggestion helps.",Hope my suggestion helps.,statement,0.944251657,POSITIVE,0.995607078,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Chandrakant Kantilal Bhogayata,,Transformer revolution in Natural Language Processing (NLP),Reviewed in India 🇮🇳 on 16 April 2021,I like the excellent explanation of the BERT model. It is very useful for applying it to my NLP research project on Gujarati language.,I like the excellent explanation of the BERT model.,statement,0.989415169,POSITIVE,0.998819411,4
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Chandrakant Kantilal Bhogayata,,Transformer revolution in Natural Language Processing (NLP),Reviewed in India 🇮🇳 on 16 April 2021,I like the excellent explanation of the BERT model. It is very useful for applying it to my NLP research project on Gujarati language.,It is very useful for applying it to my NLP research project on Gujarati language.,statement,0.944297135,POSITIVE,0.998733699,4
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,ani,,Awesome book for learning BERT,Reviewed in India 🇮🇳 on 5 February 2021,"The book explains transformers and BERT in very detail. I’m awestruck with the way the author have explained the concepts in a seamlessly simple way possible. I really loved the narrative style of the book.
I can’t believe someone explained BERT with so much of in-depth detail. The book covers lot of things which I was never aware of and many different types of BERT like tinyBERT, ELECTRA, Multilingual BERT, XLM-R, and many others. If you are not getting this then definitely you are missing out a greatest content on BERT ever.",The book explains transformers and BERT in very detail.,statement,0.971296847,POSITIVE,0.99851805,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,ani,,Awesome book for learning BERT,Reviewed in India 🇮🇳 on 5 February 2021,"The book explains transformers and BERT in very detail. I’m awestruck with the way the author have explained the concepts in a seamlessly simple way possible. I really loved the narrative style of the book.
I can’t believe someone explained BERT with so much of in-depth detail. The book covers lot of things which I was never aware of and many different types of BERT like tinyBERT, ELECTRA, Multilingual BERT, XLM-R, and many others. If you are not getting this then definitely you are missing out a greatest content on BERT ever.",I’m awestruck with the way the author have explained the concepts in a seamlessly simple way possible.,statement,0.984743655,POSITIVE,0.99893111,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,ani,,Awesome book for learning BERT,Reviewed in India 🇮🇳 on 5 February 2021,"The book explains transformers and BERT in very detail. I’m awestruck with the way the author have explained the concepts in a seamlessly simple way possible. I really loved the narrative style of the book.
I can’t believe someone explained BERT with so much of in-depth detail. The book covers lot of things which I was never aware of and many different types of BERT like tinyBERT, ELECTRA, Multilingual BERT, XLM-R, and many others. If you are not getting this then definitely you are missing out a greatest content on BERT ever.",I really loved the narrative style of the book.,statement,0.986205876,POSITIVE,0.998896837,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,ani,,Awesome book for learning BERT,Reviewed in India 🇮🇳 on 5 February 2021,"The book explains transformers and BERT in very detail. I’m awestruck with the way the author have explained the concepts in a seamlessly simple way possible. I really loved the narrative style of the book.
I can’t believe someone explained BERT with so much of in-depth detail. The book covers lot of things which I was never aware of and many different types of BERT like tinyBERT, ELECTRA, Multilingual BERT, XLM-R, and many others. If you are not getting this then definitely you are missing out a greatest content on BERT ever.",I can’t believe someone explained BERT with so much of in-depth detail.,statement,0.840557814,NEGATIVE,0.999472201,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,ani,,Awesome book for learning BERT,Reviewed in India 🇮🇳 on 5 February 2021,"The book explains transformers and BERT in very detail. I’m awestruck with the way the author have explained the concepts in a seamlessly simple way possible. I really loved the narrative style of the book.
I can’t believe someone explained BERT with so much of in-depth detail. The book covers lot of things which I was never aware of and many different types of BERT like tinyBERT, ELECTRA, Multilingual BERT, XLM-R, and many others. If you are not getting this then definitely you are missing out a greatest content on BERT ever.","The book covers lot of things which I was never aware of and many different types of BERT like tinyBERT, ELECTRA, Multilingual BERT, XLM-R, and many others.",statement,0.900678873,POSITIVE,0.99857986,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,ani,,Awesome book for learning BERT,Reviewed in India 🇮🇳 on 5 February 2021,"The book explains transformers and BERT in very detail. I’m awestruck with the way the author have explained the concepts in a seamlessly simple way possible. I really loved the narrative style of the book.
I can’t believe someone explained BERT with so much of in-depth detail. The book covers lot of things which I was never aware of and many different types of BERT like tinyBERT, ELECTRA, Multilingual BERT, XLM-R, and many others. If you are not getting this then definitely you are missing out a greatest content on BERT ever.",If you are not getting this then definitely you are missing out a greatest content on BERT ever.,statement,0.918125987,NEGATIVE,0.997986794,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Mohamed Rizwan,,Price too high,Reviewed in India 🇮🇳 on 4 July 2021,Description are very well written but code implementation is ambiguous. Too much price of the book,Description are very well written but code implementation is ambiguous.,statement,0.988689363,NEGATIVE,0.992148221,3
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Mohamed Rizwan,,Price too high,Reviewed in India 🇮🇳 on 4 July 2021,Description are very well written but code implementation is ambiguous. Too much price of the book,Too much price of the book,statement,0.98318547,NEGATIVE,0.99946636,3
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Amazon Customer,,Great but overpriced book,Reviewed in India 🇮🇳 on 13 April 2021,Good book. Explained Bert in very nice manner. I would say good to have but a bit overpriced. Go for kindle version.,Good book.,statement,0.786474347,POSITIVE,0.998812079,3
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Amazon Customer,,Great but overpriced book,Reviewed in India 🇮🇳 on 13 April 2021,Good book. Explained Bert in very nice manner. I would say good to have but a bit overpriced. Go for kindle version.,Explained Bert in very nice manner.,statement,0.92909354,POSITIVE,0.998683035,3
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Amazon Customer,,Great but overpriced book,Reviewed in India 🇮🇳 on 13 April 2021,Good book. Explained Bert in very nice manner. I would say good to have but a bit overpriced. Go for kindle version.,I would say good to have but a bit overpriced.,statement,0.982236505,POSITIVE,0.996704996,3
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Amazon Customer,,Great but overpriced book,Reviewed in India 🇮🇳 on 13 April 2021,Good book. Explained Bert in very nice manner. I would say good to have but a bit overpriced. Go for kindle version.,Go for kindle version.,statement,0.938551188,NEGATIVE,0.987039149,3
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Pawan B,,BEST book for learning BERT,Reviewed in India 🇮🇳 on 25 February 2021,"This book is super easy to understand. I liked the way how author explained each topic, particularly first chapter which gives a very detailed explanation of transformer including its encoder and decoder components.
Finally, this book provides an in-depth and detailed info about BERT.",This book is super easy to understand.,statement,0.964928091,POSITIVE,0.998848915,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Pawan B,,BEST book for learning BERT,Reviewed in India 🇮🇳 on 25 February 2021,"This book is super easy to understand. I liked the way how author explained each topic, particularly first chapter which gives a very detailed explanation of transformer including its encoder and decoder components.
Finally, this book provides an in-depth and detailed info about BERT.","I liked the way how author explained each topic, particularly first chapter which gives a very detailed explanation of transformer including its encoder and decoder components.",statement,0.973402917,POSITIVE,0.998908043,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Pawan B,,BEST book for learning BERT,Reviewed in India 🇮🇳 on 25 February 2021,"This book is super easy to understand. I liked the way how author explained each topic, particularly first chapter which gives a very detailed explanation of transformer including its encoder and decoder components.
Finally, this book provides an in-depth and detailed info about BERT.","Finally, this book provides an in-depth and detailed info about BERT.",statement,0.928836226,POSITIVE,0.998882115,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Amazon Customer,,Very very bad quality printing,Reviewed in India 🇮🇳 on 6 July 2021,Very bad quality printing! At such a high price printing quality was supposed to be excellent but it is worse than even news paper printing. So much so that sometimes it is causing readability issues.,Very bad quality printing!,statement,0.985870898,NEGATIVE,0.99949348,2
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Amazon Customer,,Very very bad quality printing,Reviewed in India 🇮🇳 on 6 July 2021,Very bad quality printing! At such a high price printing quality was supposed to be excellent but it is worse than even news paper printing. So much so that sometimes it is causing readability issues.,At such a high price printing quality was supposed to be excellent but it is worse than even news paper printing.,statement,0.977379739,NEGATIVE,0.999509096,2
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Amazon Customer,,Very very bad quality printing,Reviewed in India 🇮🇳 on 6 July 2021,Very bad quality printing! At such a high price printing quality was supposed to be excellent but it is worse than even news paper printing. So much so that sometimes it is causing readability issues.,So much so that sometimes it is causing readability issues.,statement,0.966086566,NEGATIVE,0.999440849,2
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,GS,,Simple and Elegant,Reviewed in the United Kingdom 🇬🇧 on 6 March 2021,Sudarshan brings amazing clarity into the subject - makes a very good reading on the subject.,Sudarshan brings amazing clarity into the subject - makes a very good reading on the subject.,statement,0.809051454,POSITIVE,0.998914123,5
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Jose,,Not clear.,Reviewed in Germany 🇩🇪 on 16 August 2021,"It is the first time ever I write a review in amazon, but I could not satand this. The pic shows very UNCLEAR explanation of mathematical operations. What kind of operation is shown in fig. 1.18? There are other examples like this one. I understand that pack books are not reviewed at all but this is basic presentation stuff. I expect from a book to save me time for learning. If I habe to figure out myself half of the math then I might be as better off reading some blogs online. Besides the maths there is not enough logical explanation order. It really seems that someone who really knows a lot drops some basic points but totally forgetting that he is talking (writing) to someone who knows zero about transformers.","It is the first time ever I write a review in amazon, but I could not satand this.",statement,0.985951781,NEGATIVE,0.999236465,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Jose,,Not clear.,Reviewed in Germany 🇩🇪 on 16 August 2021,"It is the first time ever I write a review in amazon, but I could not satand this. The pic shows very UNCLEAR explanation of mathematical operations. What kind of operation is shown in fig. 1.18? There are other examples like this one. I understand that pack books are not reviewed at all but this is basic presentation stuff. I expect from a book to save me time for learning. If I habe to figure out myself half of the math then I might be as better off reading some blogs online. Besides the maths there is not enough logical explanation order. It really seems that someone who really knows a lot drops some basic points but totally forgetting that he is talking (writing) to someone who knows zero about transformers.",The pic shows very UNCLEAR explanation of mathematical operations.,statement,0.98723942,NEGATIVE,0.999475539,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Jose,,Not clear.,Reviewed in Germany 🇩🇪 on 16 August 2021,"It is the first time ever I write a review in amazon, but I could not satand this. The pic shows very UNCLEAR explanation of mathematical operations. What kind of operation is shown in fig. 1.18? There are other examples like this one. I understand that pack books are not reviewed at all but this is basic presentation stuff. I expect from a book to save me time for learning. If I habe to figure out myself half of the math then I might be as better off reading some blogs online. Besides the maths there is not enough logical explanation order. It really seems that someone who really knows a lot drops some basic points but totally forgetting that he is talking (writing) to someone who knows zero about transformers.",What kind of operation is shown in fig.,statement,0.950057447,NEGATIVE,0.97212708,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Jose,,Not clear.,Reviewed in Germany 🇩🇪 on 16 August 2021,"It is the first time ever I write a review in amazon, but I could not satand this. The pic shows very UNCLEAR explanation of mathematical operations. What kind of operation is shown in fig. 1.18? There are other examples like this one. I understand that pack books are not reviewed at all but this is basic presentation stuff. I expect from a book to save me time for learning. If I habe to figure out myself half of the math then I might be as better off reading some blogs online. Besides the maths there is not enough logical explanation order. It really seems that someone who really knows a lot drops some basic points but totally forgetting that he is talking (writing) to someone who knows zero about transformers.",1.18?,question,0.998087347,POSITIVE,0.974027693,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Jose,,Not clear.,Reviewed in Germany 🇩🇪 on 16 August 2021,"It is the first time ever I write a review in amazon, but I could not satand this. The pic shows very UNCLEAR explanation of mathematical operations. What kind of operation is shown in fig. 1.18? There are other examples like this one. I understand that pack books are not reviewed at all but this is basic presentation stuff. I expect from a book to save me time for learning. If I habe to figure out myself half of the math then I might be as better off reading some blogs online. Besides the maths there is not enough logical explanation order. It really seems that someone who really knows a lot drops some basic points but totally forgetting that he is talking (writing) to someone who knows zero about transformers.",There are other examples like this one.,statement,0.984207451,POSITIVE,0.96245867,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Jose,,Not clear.,Reviewed in Germany 🇩🇪 on 16 August 2021,"It is the first time ever I write a review in amazon, but I could not satand this. The pic shows very UNCLEAR explanation of mathematical operations. What kind of operation is shown in fig. 1.18? There are other examples like this one. I understand that pack books are not reviewed at all but this is basic presentation stuff. I expect from a book to save me time for learning. If I habe to figure out myself half of the math then I might be as better off reading some blogs online. Besides the maths there is not enough logical explanation order. It really seems that someone who really knows a lot drops some basic points but totally forgetting that he is talking (writing) to someone who knows zero about transformers.",I understand that pack books are not reviewed at all but this is basic presentation stuff.,statement,0.981136143,NEGATIVE,0.999511957,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Jose,,Not clear.,Reviewed in Germany 🇩🇪 on 16 August 2021,"It is the first time ever I write a review in amazon, but I could not satand this. The pic shows very UNCLEAR explanation of mathematical operations. What kind of operation is shown in fig. 1.18? There are other examples like this one. I understand that pack books are not reviewed at all but this is basic presentation stuff. I expect from a book to save me time for learning. If I habe to figure out myself half of the math then I might be as better off reading some blogs online. Besides the maths there is not enough logical explanation order. It really seems that someone who really knows a lot drops some basic points but totally forgetting that he is talking (writing) to someone who knows zero about transformers.",I expect from a book to save me time for learning.,statement,0.93852973,NEGATIVE,0.998679936,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Jose,,Not clear.,Reviewed in Germany 🇩🇪 on 16 August 2021,"It is the first time ever I write a review in amazon, but I could not satand this. The pic shows very UNCLEAR explanation of mathematical operations. What kind of operation is shown in fig. 1.18? There are other examples like this one. I understand that pack books are not reviewed at all but this is basic presentation stuff. I expect from a book to save me time for learning. If I habe to figure out myself half of the math then I might be as better off reading some blogs online. Besides the maths there is not enough logical explanation order. It really seems that someone who really knows a lot drops some basic points but totally forgetting that he is talking (writing) to someone who knows zero about transformers.",If I habe to figure out myself half of the math then I might be as better off reading some blogs online.,statement,0.724297345,NEGATIVE,0.999444544,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Jose,,Not clear.,Reviewed in Germany 🇩🇪 on 16 August 2021,"It is the first time ever I write a review in amazon, but I could not satand this. The pic shows very UNCLEAR explanation of mathematical operations. What kind of operation is shown in fig. 1.18? There are other examples like this one. I understand that pack books are not reviewed at all but this is basic presentation stuff. I expect from a book to save me time for learning. If I habe to figure out myself half of the math then I might be as better off reading some blogs online. Besides the maths there is not enough logical explanation order. It really seems that someone who really knows a lot drops some basic points but totally forgetting that he is talking (writing) to someone who knows zero about transformers.",Besides the maths there is not enough logical explanation order.,statement,0.964402914,NEGATIVE,0.999493003,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,Jose,,Not clear.,Reviewed in Germany 🇩🇪 on 16 August 2021,"It is the first time ever I write a review in amazon, but I could not satand this. The pic shows very UNCLEAR explanation of mathematical operations. What kind of operation is shown in fig. 1.18? There are other examples like this one. I understand that pack books are not reviewed at all but this is basic presentation stuff. I expect from a book to save me time for learning. If I habe to figure out myself half of the math then I might be as better off reading some blogs online. Besides the maths there is not enough logical explanation order. It really seems that someone who really knows a lot drops some basic points but totally forgetting that he is talking (writing) to someone who knows zero about transformers.",It really seems that someone who really knows a lot drops some basic points but totally forgetting that he is talking (writing) to someone who knows zero about transformers.,statement,0.852246165,NEGATIVE,0.999502778,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,駒井 雄一郎,,It's like a student's report. It's no longer a primer but a catalogue of shallow knowledge.,Reviewed in Japan 🇯🇵 on 2 June 2022,"I was disappointed by the content. Huge number of typo, poor printing quality and above all, silly and floppy explanation. I couldn't understand what the author try to deliver to the readers.
I hope this crap will be sunk in the bottom of the search result.",I was disappointed by the content.,statement,0.987163126,NEGATIVE,0.999500632,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,駒井 雄一郎,,It's like a student's report. It's no longer a primer but a catalogue of shallow knowledge.,Reviewed in Japan 🇯🇵 on 2 June 2022,"I was disappointed by the content. Huge number of typo, poor printing quality and above all, silly and floppy explanation. I couldn't understand what the author try to deliver to the readers.
I hope this crap will be sunk in the bottom of the search result.","Huge number of typo, poor printing quality and above all, silly and floppy explanation.",statement,0.982186198,NEGATIVE,0.999511003,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,駒井 雄一郎,,It's like a student's report. It's no longer a primer but a catalogue of shallow knowledge.,Reviewed in Japan 🇯🇵 on 2 June 2022,"I was disappointed by the content. Huge number of typo, poor printing quality and above all, silly and floppy explanation. I couldn't understand what the author try to deliver to the readers.
I hope this crap will be sunk in the bottom of the search result.",I couldn't understand what the author try to deliver to the readers.,statement,0.970011473,NEGATIVE,0.999508023,1
Getting Started with Google BERT: Build and train state-of-the-art natural language processing models using BERT,駒井 雄一郎,,It's like a student's report. It's no longer a primer but a catalogue of shallow knowledge.,Reviewed in Japan 🇯🇵 on 2 June 2022,"I was disappointed by the content. Huge number of typo, poor printing quality and above all, silly and floppy explanation. I couldn't understand what the author try to deliver to the readers.
I hope this crap will be sunk in the bottom of the search result.",I hope this crap will be sunk in the bottom of the search result.,statement,0.969548225,NEGATIVE,0.999491692,1
